TIME,PLAYERS
1618019405741,298
1618019706545,289
1618020006266,282
1618020305903,279
1618020606277,282
1618020905875,284
1618021206339,287
1618021505818,288
1618021806489,286
1618022106139,290
1618022405919,292
1618022706234,294
1618023005818,297
1618023306063,291
1618023605677,283
1618023906357,279
1618024207085,285
1618024505656,283
1618024806348,283
1618025105871,266
1618025406458,269
1618025711794,278
1618026011311,272
1618026305835,280
1618026607339,286
1618026905856,287
1618027206381,285
1618027505825,280
1618027812242,276
1618028105868,272
1618028406543,265
1618028706264,250
1618029005873,242
1618029306266,240
1618029606114,241
1618029905863,245
1618030206471,245
1618030507184,245
1618030805828,240
1618031106569,251
1618031412172,240
1618031705664,235
1618032011817,222
1618032306470,215
1618032606474,210
1618032906142,205
1618033205808,206
1618033512430,198
1618033806155,195
1618034105603,205
1618034406489,207
1618034716579,199
1618035006325,194
1618035307649,189
1618035616918,194
1618035906873,195
1618036206563,203
1618036506231,208
1618036806355,196
1618037106575,198
1618037411499,200
1618037711370,195
1618038013032,190
1618038305860,190
1618038611784,190
1618038907549,194
1618039206472,186
1618039511085,190
1618039805900,183
1618040106987,187
1618040406090,190
1618040706309,183
1618041006675,189
1618041307326,186
1618041612308,191
1618041906509,196
1618042211126,194
1618042506160,197
1618042806313,198
1618043112376,199
1618043406527,199
1618043707212,191
1618044007308,192
1618044312043,185
1618044606069,200
1618044906133,194
1618045206946,193
1618045506474,187
1618045811886,181
1618046107122,184
1618046406100,185
1618046712114,186
1618047011246,178
1618047306346,180
1618047606970,174
1618047912284,178
1618048205972,171
1618048505774,171
1618048811877,173
1618049106631,173
1618049406427,181
1618049706624,185
1618050006477,189
1618050311977,181
1618050611460,183
1618050911784,179
1618051211799,174
1618051506679,173
1618051806461,175
1618052111647,172
1618052406633,180
1618052707051,181
1618053006508,182
1618053306312,187
1618053613550,182
1618053911918,176
1618054212184,185
1618054506330,181
1618054811717,181
1618055108047,183
1618055405593,200
1618055716661,193
1618056007481,201
1618056306497,198
1618056611812,192
1618056912101,201
1618057206311,199
1618057512195,209
1618057807758,210
1618058112082,203
1618058416643,206
1618058707924,201
1618059006888,209
1618059307741,216
1618059612167,212
1618059906307,216
1618060206770,216
1618060512052,219
1618060805989,220
1618061105642,229
1618061408233,228
1618061712246,236
1618062006834,231
1618062312544,235
1618062607589,238
1618062912537,245
1618063207749,249
1618063512452,256
1618063806739,246
1618064106786,249
1618064406972,242
1618064705781,242
1618065011952,243
1618065312131,236
1618065606325,242
1618065907469,248
1618066211916,242
1618066507183,249
1618066807479,257
1618067106936,257
1618067408488,242
1618067706254,237
1618068011933,246
1618068308063,249
1618068606918,235
1618068907171,235
1618069206476,241
1618069507376,245
1618069812118,243
1618070108566,238
1618070407536,238
1618070711935,246
1618071011950,251
1618071307325,250
1618071616856,254
1618071912974,256
1618072206429,225
1618072507230,241
1618072811844,227
1618073107463,238
1618073407824,246
1618073707993,249
1618074007497,239
1618074312240,242
1618074616583,244
1618074912015,250
1618075212096,244
1618075506794,246
1618075808399,254
1618076107238,265
1618076406612,268
1618076707647,262
1618077016962,250
1618077311276,268
1618077606662,278
1618077908220,278
1618078207475,257
1618078521991,255
1618078805946,259
1618079111911,260
1618079407746,257
1618079707279,261
1618080007696,265
1618080316913,266
1618080611904,272
1618080907722,274
1618081207605,280
1618081512314,292
1618081822136,313
1618082111911,315
1618082406541,305
1618082711920,310
1618083012389,303
1618083306503,297
1618083606259,303
1618083911437,306
1618084211591,308
1618084507197,297
1618084807876,299
1618085112307,286
1618127411871,172
1618127721837,176
1618128011951,175
1618128305631,177
1618128606563,180
1618128908074,179
1618129206103,181
1618129506714,179
1618129806955,179
1618130105880,179
1618130412071,183
1618130706190,190
1618131005865,192
1618131306851,186
1618131612439,187
1618131906343,178
1618132206082,174
1618132507932,175
1618132812375,173
1618133111249,173
1618133406699,182
1618133712047,173
1618134005945,174
1618134307056,170
1618134610766,168
1618134906667,177
1618135206662,176
1618135516739,175
1618135816532,178
1618136111444,176
1618136406646,173
1618136716640,172
1618137006435,176
1618137311439,182
1618137611231,180
1618137906603,180
1618138206263,178
1618138513303,177
1618138807441,179
1618139111563,173
1618139411655,169
1618139706695,185
1618140011872,187
1618140312234,190
1618140611916,190
1618140906869,184
1618141211914,182
1618141507835,188
1618141807145,190
1618142106551,179
1618142407327,189
1618143606096,191
1618143914318,200
1618144212476,195
1618144507125,198
1618144806072,197
1618145116469,204
1618145412300,206
1618145706617,209
1618146008631,205
1618146308045,217
1618146609892,214
1618146908021,213
1618147207444,211
1618147513277,205
1618147806718,204
1618148108340,206
1618148414570,216
1618148707939,211
1618149008215,212
1618149309116,212
1618149607532,212
1618149906648,221
1618150221881,222
1618150506968,225
1618150808079,219
1618151111439,216
1618151407583,226
1618151707952,224
1618152008248,231
1618152315099,235
1618152609020,229
1618152912355,230
1618153208518,247
1618153506202,247
1618153811995,249
1618154107425,240
1618154411934,239
1618154707955,245
1618155005831,250
1618155307369,252
1618155607308,262
1618155905902,261
1618156212815,264
1618156509060,265
1618156812183,274
1618157116759,282
1618157412277,274
1618157711445,266
1618158012428,264
1618158312156,251
1618158608713,255
1618158907543,249
1618159212374,246
1618159512067,246
1618159807778,254
1618160112050,252
1618160407769,259
1618160707238,259
1618161011808,257
1618161312361,259
1618161606547,253
1618161907193,255
1618162207806,252
1618162512198,253
1618162806351,254
1618163112221,277
1618163412308,281
1618163708236,275
1618164006825,273
1618164307518,276
1618164607033,279
1618164912048,283
1618165207159,285
1618165506365,294
1618165806689,279
1618166107760,277
1618166417578,282
1618166707525,277
1618167006809,285
1618167308372,274
1618167607852,285
1618167907417,291
1618168206657,286
1618168510091,293
1618168811875,289
1618169107589,287
1618169406967,303
1618169712541,306
1618170011886,306
1618170307292,293
1618170606584,308
1618170907637,302
1618171207582,293
1618171512259,291
1618171806395,300
1618172113330,290
1618172407402,274
1618172706779,272
1618173017206,291
1618173306373,286
1618173606351,288
1618173912261,295
1618174212099,299
1618174506252,298
1618174807308,287
1618175117529,282
1618175406528,291
1618175712104,292
1618176006074,283
1618176305926,285
1618176607270,290
1618176906252,286
1618177206250,275
1618177506285,272
1618177806167,273
1618178106461,273
1618178411642,289
1618178716429,289
1618179006400,289
1618179311528,281
1618179611507,274
1618179911463,272
1618180206621,270
1618180506592,282
1618180806049,275
1618181105917,276
1618181406620,271
1618181707099,282
1618182005618,284
1618182306362,285
1618182606137,278
1618182905819,275
1618183206213,277
1618183505906,267
1618183806442,271
1618184106009,260
1618184405368,250
1618184706090,257
1618185005562,254
1618185311515,268
1618185612462,270
1618185906150,276
1618186205529,279
1618186506210,272
1618186805784,274
1618187106481,268
1618187406214,269
1618187705718,273
1618188006191,266
1618188306593,270
1618188606072,272
1618188905422,277
1618189205992,284
1618189505740,287
1618189811250,289
1618190105718,290
1618190406351,273
1618190706149,269
1618191005654,257
1618191306094,259
1618191605781,255
1618191906152,250
1618192205756,257
1618192511652,250
1618192806515,248
1618193107007,248
1618193405408,249
1618193706074,241
1618194005650,247
1618194306571,245
1618194611160,244
1618194905787,243
1618195205863,237
1618195512128,225
1618195805790,228
1618196106163,227
1618196798015,234
1618197005530,237
1618197306091,226
1618197605715,224
1618197906027,226
1618198205659,221
1618198506382,228
1618198807459,236
1618199106216,225
1618199405700,230
1618199706368,222
1618200005617,223
1618200311094,213
1618200605324,215
1618200905570,210
1618201211459,210
1618201506057,212
1618201805342,213
1618202105871,216
1618202407185,206
1618202706890,199
1618203006542,199
1618203306118,203
1618203605495,195
1618203906294,190
1618204205934,193
1618204506583,189
1618204806272,191
1618205105902,184
1618205408077,183
1618205706038,177
1618206005809,176
1618206306284,176
1618206605967,174
1618206910522,164
1618207206077,169
1618207505855,176
1618207806519,175
1618208112107,180
1618208405724,173
1618208706593,175
1618209006309,179
1618209306100,185
1618209606142,184
1618209906419,184
1618210206429,180
1618210512232,190
1618210812202,183
1618211106691,177
1618211406920,186
1618211712183,180
1618212006725,175
1618212306937,183
1618212607129,180
1618212906227,186
1618213206723,179
1618213516692,179
1618213806801,183
1618214106836,174
1618214412171,169
1618214706352,164
1618215006459,159
1618215306964,158
1618215607741,168
1618215911887,161
1618216212063,164
1618216506196,170
1618216806328,165
1618217106507,154
1618217406732,145
1618217706902,153
1618218007325,153
1618218307996,160
1618218606284,158
1618218916405,160
1618219207139,172
1618219506410,160
1618219812052,165
1618220106594,168
1618220406577,171
1618220707348,168
1618221011902,164
1618221312347,161
1618221606635,163
1618221911904,157
1618222207301,163
1618222506263,174
1618222807657,173
1618223106619,168
1618223411816,166
1618223706835,171
1618224011837,165
1618224306968,168
1618224605800,174
1618224908480,179
1618225206840,178
1618225511875,182
1618225812219,172
1618226106755,154
1618226407060,160
1618226711974,161
1618227006445,163
1618227306408,157
1618227607353,157
1618227913197,154
1618228206419,156
1618228506453,157
1618228811600,151
1618229116751,156
1618229407069,169
1618229707754,163
1618230012017,162
1618230306155,172
1618230606587,173
1618230911995,168
1618231205846,161
1618231512314,164
1618231806593,169
1618232117036,176
1618232406545,167
1618232712810,177
1618233007651,177
1618233306736,187
1618233607317,192
1618233906537,202
1618234212200,193
1618234506876,195
1618234812415,185
1618235108496,195
1618235412107,210
1618235705784,202
1618236007439,196
1618236311762,203
1618236612006,202
1618236911922,201
1618237205938,201
1618237507496,193
1618237807031,199
1618238112020,194
1618238406133,197
